id	experiment	treatment	conshet	time.start.shoaling	associated	total.visits	medianvisits	id.first.locate.food	time.first.locate.food	timefocalfinds	difbetweenfirstandfocal	totalforaging	bouts	average.bout.time	aggression	focalsize	average.shoal.size	diffbtwnfocalnshoal	totalremainingtime	percentageforaging	percentageforagingASIN
27	soc	ski	ski	174.016	231.54	10	11.735	NA	NA	NA	NA	NA	NA	NA	NA	41.09	39.798	1.292	NA	NA	NA
32	soc	ski	ski	88.732	81.159	20	3.8545	NA	NA	NA	NA	NA	NA	NA	NA	42.376	40.9575	1.4185	NA	NA	NA
37	soc	ski	ski	54.941	43.324	9	5.118	NA	NA	NA	NA	NA	NA	NA	NA	32.381	29.11775	3.26325	NA	NA	NA
41	soc	ski	ski	17.467	215.938	13	9.249	NA	NA	NA	NA	NA	NA	NA	NA	38.898	39.4995	-0.6015	NA	NA	NA
45	soc	ski	ski	34.536	108.086	11	7.886	NA	NA	NA	NA	NA	NA	NA	NA	36.932	32.37925	4.55275	NA	NA	NA
52	soc	ski	ski	4.25	56.263	10	3.6555	NA	NA	NA	NA	NA	NA	NA	NA	34.615	33.13925	1.47575	NA	NA	NA
56	soc	ski	ski	22.812	423.488	10	49.738	NA	NA	NA	NA	NA	NA	NA	NA	48.453	43.19525	5.25775	NA	NA	NA
64	soc	ski	ski	5.36	171.36	17	4.881	NA	NA	NA	NA	NA	NA	NA	NA	NA	30.3305	NA	NA	NA	NA
1	for	2het	con	NA	NA	NA	NA	focal	111.405	111.405	NA	94.177	40	2.354425	1	31.8995	34.387	-2.4875	788.595	0.119423785	0.119709494
2	for	2het	con	NA	NA	NA	NA	conspecific	751.817	889.693	137.876	1.795	2	0.8975	0	31.918	31.4175	0.5005	10.307	0.174153488	0.175046054
3	for	2het	con	NA	NA	NA	NA	conspecific	48.89	57.71	8.82	115.06	35	3.287428571	0	37.721	39.0175	-1.2965	842.29	0.136603783	0.137032242
4	for	2het	con	NA	NA	NA	NA	conspecific	690.413	725.268	34.855	41.597	21	1.980809524	0	35.4905	30.341	5.1495	174.732	0.238061717	0.240369703
5	for	2het	con	NA	NA	NA	NA	conspecific	87.982	279.911	191.929	64.593	23	2.808391304	0	36.361	37.6985	-1.3375	620.089	0.104167305	0.104356614
6	for	2het	con	NA	NA	NA	NA	conspecific	161.857	188.266	26.409	43.696	18	2.427555556	0	31.1195	31.25	-0.1305	711.734	0.061393723	0.061432356
7	for	2het	con	NA	NA	NA	NA	conspecific	288.248	290.815	2.567	67.309	20	3.36545	0	38.039	33.899	4.14	609.185	0.110490245	0.110716302
8	for	2het	con	NA	NA	NA	NA	focal	63.357	63.357	NA	57.354	22	2.607	0	33.178	38.7685	-5.5905	836.643	0.068552537	0.068606344
9	for	2het	con	NA	NA	NA	NA	conspecific	548.269	NA	NA	0	0	NA	0	31.7195	35.464	-3.7445	NA	0	0
10	for	2het	con	NA	NA	NA	NA	any	NA	NA	NA	0	0	NA	0	45.2865	39.9015	5.385	NA	0	0
1	for	4het	con	NA	NA	NA	NA	conspecific	639.846	725.119	85.273	23.098	12	1.924833333	1	31.344	32.3205	-0.9765	174.881	0.132078385	0.132465443
2	for	4het	con	NA	NA	NA	NA	conspecific	425.863	551.645	125.782	23.137	13	1.779769231	3	27.7485	28.8185	-1.07	348.355	0.066417878	0.066466807
3	for	4het	con	NA	NA	NA	NA	conspecific	46.626	55.557	8.931	45.455	15	3.030333333	0	36.279	31.885	4.394	844.443	0.053828382	0.053854411
4	for	4het	con	NA	NA	NA	NA	conspecific	332.229	507	174.771	62.638	21	2.982761905	1	34.6455	35.19783333	-0.55233333	393	0.159384224	0.160066872
5	for	4het	con	NA	NA	NA	NA	any	NA	NA	NA	0	0	NA	0	47.6995	42.4665	5.233	NA	0	0
6	for	4het	con	NA	NA	NA	NA	conspecific	149.416	681.754	532.338	1.513	1	1.513	0	32.759	32.54283333	0.21616667	218.246	0.006932544	0.0069326
7	for	4het	con	NA	NA	NA	NA	any	NA	NA	NA	0	0	NA	0	40.609	35.92183333	4.68716667	NA	0	0
8	for	4het	con	NA	NA	NA	NA	focal	90.254	90.254	NA	60.969	23	2.650826087	0	27.07	30.307	-3.237	809.746	0.075293981	0.075365306
9	for	4het	con	NA	NA	NA	NA	conspecific	70.63	81.234	10.604	57.026	23	2.479391304	0	40.2945	37.98	2.3145	818.766	0.069648715	0.069705149
10	for	4het	con	NA	NA	NA	NA	conspecific	237.878	238.414	0.536	6.08	4	1.52	0	45.789	40.67383333	5.11516667	661.586	0.009190037	0.009190166
